"","gender","race","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score","average_score"
"1","female","group B","bachelor's degree","standard","none",0.72,0.662650602409639,0.711111111111111,0.69963369967033
"2","female","group C","some college","standard","completed",0.69,0.879518072289157,0.866666666666667,0.805860805824176
"3","female","group B","master's degree","standard","none",0.9,0.939759036144578,0.922222222222222,0.919413919450549
"4","male","group A","associate's degree","free/reduced","none",0.47,0.481927710843373,0.377777777777778,0.443223443186813
"5","male","group C","some college","standard","none",0.76,0.734939759036145,0.722222222222222,0.73992673989011
"6","female","group B","associate's degree","standard","none",0.71,0.795180722891566,0.755555555555556,0.750915750879121
"7","female","group B","some college","standard","completed",0.88,0.939759036144578,0.911111111111111,0.908424908461538
"8","male","group B","some college","free/reduced","none",0.4,0.313253012048193,0.322222222222222,0.347985348021978
"9","male","group D","high school","free/reduced","completed",0.64,0.566265060240964,0.633333333333333,0.615384615384615
"10","female","group B","high school","free/reduced","none",0.38,0.518072289156627,0.444444444444444,0.443223443186813
"11","male","group C","associate's degree","standard","none",0.58,0.44578313253012,0.466666666666667,0.501831501868132
"12","male","group D","associate's degree","standard","none",0.4,0.421686746987952,0.366666666666667,0.395604395604396
"13","female","group B","high school","standard","none",0.65,0.771084337349398,0.7,0.703296703296703
"14","male","group A","some college","standard","completed",0.78,0.662650602409639,0.666666666666667,0.706959706923077
"15","female","group A","master's degree","standard","none",0.5,0.433734939759036,0.533333333333333,0.490842490879121
"16","female","group C","some high school","standard","none",0.69,0.698795180722892,0.755555555555556,0.714285714285714
"17","male","group C","high school","standard","none",0.88,0.867469879518072,0.844444444444444,0.864468864505494
"18","female","group B","some high school","free/reduced","none",0.18,0.180722891566265,0.2,0.186813186813187
"19","male","group C","master's degree","free/reduced","completed",0.46,0.301204819277108,0.4,0.391941391978022
"20","female","group C","associate's degree","free/reduced","none",0.54,0.493975903614458,0.566666666666667,0.534798534835165
"21","male","group D","high school","standard","none",0.66,0.626506024096386,0.588888888888889,0.626373626373626
"22","female","group B","some college","free/reduced","completed",0.65,0.698795180722892,0.666666666666667,0.67032967032967
"23","male","group D","some college","standard","none",0.44,0.44578313253012,0.477777777777778,0.454212454175824
"24","female","group C","some high school","standard","none",0.69,0.674698795180723,0.7,0.688644688681319
"25","male","group D","bachelor's degree","free/reduced","completed",0.74,0.650602409638554,0.777777777777778,0.725274725274725
"26","male","group A","master's degree","free/reduced","none",0.73,0.686746987951807,0.688888888888889,0.703296703296703
"27","male","group B","some college","standard","none",0.69,0.44578313253012,0.5,0.553113553076923
"28","female","group C","bachelor's degree","standard","none",0.67,0.626506024096386,0.722222222222222,0.673992673956044
"29","male","group C","high school","standard","none",0.7,0.63855421686747,0.611111111111111,0.652014651978022
"30","female","group D","master's degree","standard","none",0.62,0.63855421686747,0.722222222222222,0.659340659340659
"31","female","group D","some college","standard","none",0.69,0.686746987951807,0.711111111111111,0.695970695934066
"32","female","group B","some college","standard","none",0.63,0.578313253012048,0.566666666666667,0.593406593406593
"33","female","group E","master's degree","free/reduced","none",0.56,0.662650602409639,0.611111111111111,0.608058608021978
"34","male","group D","some college","standard","none",0.4,0.301204819277108,0.311111111111111,0.340659340659341
"35","male","group E","some college","standard","none",0.97,0.843373493975904,0.8,0.875457875494505
"36","male","group E","associate's degree","standard","completed",0.81,0.771084337349398,0.766666666666667,0.783882783846154
"37","female","group D","associate's degree","standard","none",0.74,0.771084337349398,0.811111111111111,0.772893772857143
"38","female","group D","some high school","free/reduced","none",0.5,0.566265060240964,0.544444444444444,0.534798534835165
"39","female","group D","associate's degree","free/reduced","completed",0.75,0.879518072289157,0.866666666666667,0.827838827802198
"40","male","group B","associate's degree","free/reduced","none",0.57,0.469879518072289,0.522222222222222,0.523809523846154
"41","male","group C","associate's degree","free/reduced","none",0.55,0.530120481927711,0.488888888888889,0.523809523846154
"42","female","group C","associate's degree","standard","none",0.58,0.674698795180723,0.644444444444444,0.63003663
"43","female","group B","associate's degree","standard","none",0.53,0.493975903614458,0.611111111111111,0.545787545824176
"44","male","group B","some college","free/reduced","completed",0.59,0.578313253012048,0.622222222222222,0.597069597032967
"45","female","group E","associate's degree","free/reduced","none",0.5,0.469879518072289,0.488888888888889,0.487179487142857
"46","male","group B","associate's degree","standard","none",0.65,0.44578313253012,0.522222222222222,0.545787545824176
"47","female","group A","associate's degree","standard","completed",0.55,0.578313253012048,0.577777777777778,0.567765567802198
"48","female","group C","high school","standard","none",0.66,0.650602409638554,0.733333333333333,0.681318681318681
"49","female","group D","associate's degree","free/reduced","completed",0.57,0.686746987951807,0.733333333333333,0.659340659340659
"50","male","group C","high school","standard","completed",0.82,0.807228915662651,0.8,0.80952380956044
"51","male","group E","some college","standard","none",0.53,0.457831325301205,0.422222222222222,0.472527472527473
"52","male","group E","associate's degree","free/reduced","completed",0.77,0.626506024096386,0.644444444444444,0.684981684945055
"53","male","group C","some college","standard","none",0.53,0.325301204819277,0.355555555555556,0.41025641021978
"54","male","group D","high school","standard","none",0.88,0.734939759036145,0.722222222222222,0.783882783846154
"55","female","group C","some high school","free/reduced","completed",0.71,0.807228915662651,0.855555555555556,0.787545787582418
"56","female","group C","high school","free/reduced","none",0.33,0.289156626506024,0.366666666666667,0.32967032967033
"57","female","group E","associate's degree","standard","completed",0.82,0.819277108433735,0.844444444444444,0.827838827802198
"58","male","group D","associate's degree","standard","none",0.52,0.457831325301205,0.433333333333333,0.472527472527473
"59","male","group D","some college","standard","completed",0.58,0.506024096385542,0.533333333333333,0.542124542087912
"60","female","group C","some high school","free/reduced","none",0,0,0,0
"61","male","group E","bachelor's degree","free/reduced","completed",0.79,0.686746987951807,0.688888888888889,0.725274725274725
"62","male","group A","some high school","free/reduced","none",0.39,0.265060240963855,0.266666666666667,0.311355311318681
"63","male","group A","associate's degree","free/reduced","none",0.62,0.530120481927711,0.5,0.553113553076923
"64","female","group C","associate's degree","standard","none",0.69,0.759036144578313,0.677777777777778,0.706959706923077
"65","female","group D","some high school","standard","none",0.59,0.493975903614458,0.544444444444444,0.545787545824176
"66","male","group B","some high school","standard","none",0.67,0.566265060240964,0.566666666666667,0.604395604395604
"67","male","group D","some high school","free/reduced","none",0.45,0.240963855421687,0.3,0.336996337032967
"68","female","group C","some college","standard","none",0.6,0.662650602409639,0.711111111111111,0.655677655714286
"69","male","group B","associate's degree","free/reduced","none",0.61,0.493975903614458,0.511111111111111,0.542124542087912
"70","female","group C","associate's degree","standard","none",0.39,0.566265060240964,0.522222222222222,0.487179487142857
"71","female","group D","some college","free/reduced","completed",0.58,0.55421686746988,0.7,0.611721611758242
"72","male","group D","some college","standard","completed",0.63,0.457831325301205,0.588888888888889,0.564102564065934
"73","female","group A","associate's degree","free/reduced","none",0.41,0.409638554216867,0.422222222222222,0.413919413956044
"74","male","group C","some high school","free/reduced","none",0.61,0.481927710843373,0.511111111111111,0.538461538461538
"75","male","group C","some high school","standard","none",0.49,0.385542168674699,0.344444444444444,0.41025641021978
"76","male","group B","associate's degree","free/reduced","none",0.44,0.289156626506024,0.311111111111111,0.351648351648352
"77","male","group E","some high school","standard","none",0.3,0.108433734939759,0.133333333333333,0.186813186813187
"78","male","group A","bachelor's degree","standard","completed",0.8,0.734939759036145,0.788888888888889,0.776556776593407
"79","female","group D","some high school","standard","completed",0.61,0.686746987951807,0.688888888888889,0.659340659340659
"80","female","group E","master's degree","standard","none",0.62,0.614457831325301,0.644444444444444,0.626373626373626
"81","female","group B","associate's degree","standard","none",0.47,0.385542168674699,0.444444444444444,0.435897435934066
"82","male","group B","high school","free/reduced","none",0.49,0.337349397590361,0.388888888888889,0.41025641021978
"83","male","group A","some college","free/reduced","completed",0.5,0.36144578313253,0.488888888888889,0.454212454175824
"84","male","group E","associate's degree","standard","none",0.72,0.566265060240964,0.588888888888889,0.63003663
"85","male","group D","high school","free/reduced","none",0.42,0.265060240963855,0.266666666666667,0.322344322307692
"86","female","group C","some college","standard","none",0.73,0.759036144578313,0.8,0.761904761868132
"87","female","group C","some college","free/reduced","none",0.76,0.795180722891566,0.866666666666667,0.805860805824176
"88","female","group D","associate's degree","standard","none",0.71,0.650602409638554,0.711111111111111,0.692307692307692
"89","female","group A","some college","standard","none",0.58,0.63855421686747,0.633333333333333,0.615384615384615
"90","female","group D","some high school","standard","none",0.73,0.831325301204819,0.8,0.783882783846154
"91","female","group C","bachelor's degree","standard","none",0.65,0.662650602409639,0.711111111111111,0.673992673956044
"92","male","group C","high school","free/reduced","none",0.27,0.204819277108434,0.288888888888889,0.256410256373626
"93","male","group C","high school","standard","none",0.71,0.746987951807229,0.677777777777778,0.710622710659341
"94","male","group C","associate's degree","free/reduced","completed",0.43,0.337349397590361,0.444444444444444,0.406593406593407
"95","female","group B","some college","standard","none",0.79,0.831325301204819,0.911111111111111,0.842490842527473
"96","male","group C","associate's degree","free/reduced","completed",0.78,0.771084337349398,0.8,0.783882783846154
"97","male","group B","some high school","standard","completed",0.65,0.590361445783133,0.577777777777778,0.608058608021978
"98","female","group E","some college","standard","completed",0.63,0.662650602409639,0.666666666666667,0.652014651978022
"99","female","group D","some college","free/reduced","none",0.58,0.602409638554217,0.577777777777778,0.586080586043956
"100","female","group D","bachelor's degree","standard","none",0.65,0.602409638554217,0.577777777777778,0.611721611758242
"101","male","group B","some college","standard","none",0.79,0.602409638554217,0.633333333333333,0.681318681318681
"102","male","group D","bachelor's degree","standard","completed",0.68,0.686746987951807,0.711111111111111,0.692307692307692
"103","female","group D","associate's degree","standard","none",0.85,0.891566265060241,0.877777777777778,0.871794871758242
"104","male","group B","high school","standard","completed",0.6,0.325301204819277,0.411111111111111,0.454212454175824
"105","male","group C","some college","standard","completed",0.98,0.831325301204819,0.888888888888889,0.904761904725275
"106","female","group C","some college","standard","none",0.58,0.602409638554217,0.688888888888889,0.622710622747253
"107","female","group D","master's degree","standard","none",0.87,1,1,0.952380952417582
"108","male","group E","associate's degree","standard","completed",0.66,0.55421686746988,0.6,0.608058608021978
"109","female","group B","associate's degree","free/reduced","none",0.52,0.710843373493976,0.666666666666667,0.626373626373626
"110","female","group B","some high school","standard","none",0.7,0.566265060240964,0.688888888888889,0.655677655714286
"111","female","group D","associate's degree","free/reduced","completed",0.77,0.867469879518072,0.977777777777778,0.868131868131868
"112","male","group C","high school","standard","none",0.62,0.457831325301205,0.433333333333333,0.509157509120879
"113","male","group A","associate's degree","standard","none",0.54,0.433734939759036,0.411111111111111,0.465201465164835
"114","female","group D","some college","standard","none",0.51,0.493975903614458,0.488888888888889,0.498168498131868
"115","female","group E","bachelor's degree","standard","completed",0.99,1,1,0.996336996373626
"116","male","group C","high school","standard","none",0.84,0.72289156626506,0.711111111111111,0.761904761868132
"117","female","group B","bachelor's degree","free/reduced","none",0.75,0.819277108433735,0.8,0.787545787582418
"118","female","group D","bachelor's degree","standard","none",0.78,0.783132530120482,0.766666666666667,0.776556776593407
"119","female","group D","some high school","standard","none",0.51,0.55421686746988,0.566666666666667,0.542124542087912
"120","female","group C","some college","standard","none",0.55,0.626506024096386,0.611111111111111,0.593406593406593
"121","female","group C","bachelor's degree","standard","completed",0.79,0.903614457831325,0.877777777777778,0.853479853516483
"122","male","group B","associate's degree","standard","completed",0.91,0.867469879518072,0.911111111111111,0.897435897472527
"123","female","group C","some college","standard","completed",0.88,0.91566265060241,0.922222222222222,0.904761904725275
"124","male","group D","high school","free/reduced","none",0.63,0.481927710843373,0.511111111111111,0.545787545824176
"125","male","group E","some college","standard","none",0.83,0.759036144578313,0.7,0.765567765604396
"126","female","group B","high school","standard","none",0.87,0.939759036144578,0.844444444444444,0.882783882747253
"127","male","group B","some high school","standard","none",0.72,0.614457831325301,0.633333333333333,0.659340659340659
"128","male","group D","some college","standard","completed",0.65,0.72289156626506,0.711111111111111,0.692307692307692
"129","male","group D","master's degree","standard","none",0.82,0.783132530120482,0.711111111111111,0.772893772857143
"130","female","group A","bachelor's degree","standard","none",0.51,0.385542168674699,0.455555555555556,0.454212454175824
"131","male","group D","master's degree","standard","none",0.89,0.807228915662651,0.8,0.835164835164835
"132","male","group C","some high school","free/reduced","completed",0.53,0.240963855421687,0.333333333333333,0.377289377252747
"133","male","group E","some college","free/reduced","completed",0.87,0.686746987951807,0.666666666666667,0.747252747252747
"134","female","group C","some college","standard","completed",0.75,0.771084337349398,0.822222222222222,0.78021978021978
"135","male","group D","bachelor's degree","free/reduced","completed",0.74,0.746987951807229,0.722222222222222,0.736263736263736
"136","male","group C","bachelor's degree","standard","none",0.58,0.457831325301205,0.422222222222222,0.490842490879121
"137","male","group B","some high school","standard","completed",0.51,0.44578313253012,0.344444444444444,0.435897435934066
"138","male","group E","high school","standard","none",0.7,0.457831325301205,0.511111111111111,0.564102564065934
"139","female","group C","associate's degree","standard","none",0.59,0.590361445783133,0.633333333333333,0.604395604395604
"140","male","group D","some college","standard","completed",0.71,0.530120481927711,0.655555555555556,0.637362637362637
"141","female","group D","some high school","standard","none",0.76,0.662650602409639,0.677777777777778,0.703296703296703
"142","female","group C","some college","free/reduced","none",0.59,0.542168674698795,0.6,0.578754578791209
"143","female","group E","some college","free/reduced","completed",0.42,0.457831325301205,0.488888888888889,0.454212454175824
"144","male","group A","high school","standard","none",0.57,0.313253012048193,0.411111111111111,0.43956043956044
"145","male","group D","some college","standard","none",0.88,0.674698795180723,0.755555555555556,0.776556776593407
"146","female","group C","some college","free/reduced","none",0.22,0.265060240963855,0.255555555555556,0.245421245384615
"147","male","group B","some high school","standard","none",0.88,0.807228915662651,0.722222222222222,0.805860805824176
"148","male","group C","associate's degree","free/reduced","none",0.73,0.614457831325301,0.622222222222222,0.659340659340659
"149","female","group D","bachelor's degree","standard","completed",0.68,0.698795180722892,0.788888888888889,0.721611721648352
"150","male","group E","associate's degree","free/reduced","completed",1,1,0.922222222222222,0.974358974395604
"151","male","group A","some high school","standard","completed",0.62,0.602409638554217,0.655555555555556,0.626373626373626
"152","male","group A","bachelor's degree","standard","none",0.77,0.602409638554217,0.644444444444444,0.677655677692308
"153","female","group B","associate's degree","standard","completed",0.59,0.63855421686747,0.622222222222222,0.615384615384615
"154","male","group D","bachelor's degree","standard","none",0.54,0.385542168674699,0.411111111111111,0.450549450549451
"155","male","group D","some high school","standard","none",0.62,0.602409638554217,0.566666666666667,0.597069597032967
"156","female","group C","some college","standard","completed",0.7,0.867469879518072,0.866666666666667,0.805860805824176
"157","female","group E","high school","free/reduced","completed",0.66,0.686746987951807,0.755555555555556,0.69963369967033
"158","male","group B","some college","free/reduced","none",0.6,0.518072289156627,0.555555555555556,0.56043956043956
"159","female","group B","associate's degree","standard","completed",0.61,0.831325301204819,0.855555555555556,0.758241758241758
"160","male","group D","associate's degree","free/reduced","none",0.66,0.542168674698795,0.6,0.604395604395604
"161","male","group B","associate's degree","free/reduced","completed",0.82,0.734939759036145,0.711111111111111,0.758241758241758
"162","female","group E","some college","free/reduced","completed",0.75,0.855421686746988,0.833333333333333,0.80952380956044
